Year,Month,Domestic (Thousands),International (Thousands),Total (Thousands)
2018,11,"10,285,416","5,241,375","15,526,791"
2018,12,"10,426,356","5,973,411","16,399,768"
2018,TOTAL,"128,472,397","76,912,250","205,384,647"
2019,1,"10,126,054","5,868,609","15,994,663"
2019,2,"9,666,212","4,992,311","14,658,523"
2019,3,"11,550,425","6,271,874","17,822,299"
2019,4,"10,605,509","6,280,278","16,885,787"
2019,5,"11,536,890","7,109,596","18,646,486"
2019,6,"11,789,635","7,942,122","19,731,757"
2019,7,"12,201,478","8,232,879","20,434,356"
2019,8,"11,824,551","7,982,814","19,807,365"
2019,9,"10,305,125","6,863,694","17,168,819"
2019,10,"11,041,213","6,675,015","17,716,228"
2019,11,"10,518,273","5,423,266","15,941,539"
2019,12,"11,615,715","6,386,252","18,001,967"
2019,TOTAL,"132,781,078","80,028,711","212,809,789"
2020,1,"10,439,039","5,931,733","16,370,771"
2020,2,"9,918,923","4,773,015","14,691,937"
2020,3,"5,698,147","2,543,338","8,241,484"
2020,4,"646,410","52,682","699,092"
2020,5,"1,648,864","104,035","1,752,899"
2020,6,"3,040,404","249,368","3,289,772"
2020,7,"4,384,478","478,915","4,863,394"
2020,8,"4,369,124","523,229","4,892,353"
2020,9,"4,507,976","523,153","5,031,130"
2020,10,"5,084,284","773,661","5,857,945"
2020,11,"4,468,971","1,066,163","5,535,135"
2020,12,"4,454,934","1,366,395","5,821,328"
2020,TOTAL,"58,661,554","18,385,687","77,047,241"
2021,1,"4,012,579","1,282,727","5,295,305"
2021,2,"3,813,323","930,600","4,743,923"
2021,3,"6,509,782","1,552,786","8,062,567"
2021,4,"7,685,753","1,853,916","9,539,669"
2021,5,"9,345,984","2,235,520","11,581,504"
2021,6,"11,247,523","2,881,160","14,128,684"
2021,7,"12,096,626","3,418,795","15,515,422"
2021,8,"10,594,509","3,133,211","13,727,720"
2021,9,"9,313,850","2,452,572","11,766,422"
2021,10,"10,529,514","2,835,556","13,365,070"
2021,11,"10,556,960","3,307,682","13,864,642"
2021,12,"10,742,754","4,148,661","14,891,416"
2021,TOTAL,"106,449,158","30,033,186","136,482,344"
2022,1,"7,995,529","3,527,064","11,522,593"
2022,2,"8,215,552","3,352,860","11,568,412"
2022,3,"10,818,227","4,743,776","15,562,003"
2022,4,"10,273,625","5,468,306","15,741,932"
2022,5,"10,838,991","5,987,867","16,826,858"
2022,6,"11,175,358","6,863,657","18,039,015"
2022,7,"11,453,030","7,141,491","18,594,521"
2022,8,"10,943,003","6,615,994","17,558,998"
2022,9,"10,211,623","5,919,211","16,130,835"
2022,10,"11,188,031","5,926,508","17,114,539"
2022,11,"10,431,469","5,458,281","15,889,750"
2022,12,"10,790,002","6,124,957","16,914,959"
2022,TOTAL,"124,334,440","67,129,974","191,464,414"
2023,1,"9,694,445","5,518,632","15,213,077"
2023,2,"9,533,114","4,905,041","14,438,155"
2023,3,"11,366,958","6,056,187","17,423,145"
2023,4,"10,768,692","6,197,891","16,966,583"
2023,TOTAL,"41,363,209","22,677,751","64,040,960"
